CMDLINE C:\Users\Isaac\AppData\Local\Programs\Python\Python311\python.exe copy_of_4_double_dqn.py
MEM 1.671875 1708462838.1523
MEM 21.761719 1708462838.2531
MEM 31.949219 1708462838.3535
MEM 39.796875 1708462838.4537
MEM 46.714844 1708462838.5540
MEM 53.406250 1708462838.6542
MEM 61.789062 1708462838.7543
MEM 67.480469 1708462838.8549
MEM 70.800781 1708462838.9551
MEM 92.550781 1708462839.0557
MEM 124.542969 1708462839.1559
MEM 148.550781 1708462839.2566
MEM 163.574219 1708462839.3568
MEM 180.062500 1708462839.4571
MEM 198.046875 1708462839.5574
MEM 213.031250 1708462839.6579
MEM 227.597656 1708462839.7585
MEM 238.382812 1708462839.8588
MEM 249.847656 1708462839.9591
MEM 267.351562 1708462840.0595
MEM 279.574219 1708462840.1599
MEM 290.226562 1708462840.2601
MEM 295.375000 1708462840.3602
MEM 298.593750 1708462840.4608
MEM 301.910156 1708462840.5613
MEM 307.410156 1708462840.6619
MEM 315.734375 1708462840.7620
MEM 323.617188 1708462840.8622
MEM 330.132812 1708462840.9625
MEM 333.332031 1708462841.0627
MEM 339.488281 1708462841.1633
MEM 345.187500 1708462841.2639
MEM 345.687500 1708462841.3644
MEM 346.199219 1708462841.4647
MEM 352.367188 1708462841.5649
MEM 358.082031 1708462841.6653
MEM 362.531250 1708462841.7659
MEM 365.218750 1708462841.8665
MEM 369.632812 1708462841.9669
MEM 371.347656 1708462842.0673
MEM 373.539062 1708462842.1678
MEM 380.691406 1708462842.2681
MEM 386.003906 1708462842.3686
MEM 388.585938 1708462842.4691
MEM 401.250000 1708462842.5696
MEM 403.550781 1708462842.6698
MEM 408.550781 1708462842.7699
MEM 408.550781 1708462842.8701
MEM 408.085938 1708462842.9703
MEM 413.136719 1708462843.0704
MEM 421.003906 1708462843.1708
MEM 422.480469 1708462843.2714
MEM 427.734375 1708462843.3717
MEM 430.664062 1708462843.4721
MEM 433.945312 1708462843.5726
MEM 436.894531 1708462843.6730
MEM 440.535156 1708462843.7736
MEM 443.507812 1708462843.8741
MEM 445.531250 1708462843.9742
MEM 458.824219 1708462844.0746
MEM 464.980469 1708462844.1750
MEM 475.113281 1708462844.2755
MEM 545.789062 1708462844.3757
MEM 568.269531 1708462844.4763
MEM 578.871094 1708462844.5767
MEM 595.890625 1708462844.6772
MEM 609.671875 1708462844.7778
MEM 636.300781 1708462844.8783
MEM 811.855469 1708462844.9785
MEM 809.457031 1708462845.0791
MEM 810.875000 1708462845.1794
MEM 816.695312 1708462845.2799
MEM 822.824219 1708462845.3804
MEM 828.042969 1708462845.4808
MEM 833.433594 1708462845.5812
MEM 839.175781 1708462845.6814
MEM 845.855469 1708462845.7816
MEM 850.835938 1708462845.8818
MEM 856.851562 1708462845.9824
MEM 863.250000 1708462846.0826
MEM 868.210938 1708462846.1830
MEM 874.289062 1708462846.2833
MEM 856.351562 1708462846.3837
MEM 858.402344 1708462846.4840
MEM 860.437500 1708462846.5844
MEM 864.097656 1708462846.6849
MEM 869.753906 1708462846.7852
MEM 875.281250 1708462846.8853
MEM 880.585938 1708462846.9857
MEM 887.929688 1708462847.0862
MEM 893.804688 1708462847.1865
MEM 899.902344 1708462847.2870
MEM 905.347656 1708462847.3873
MEM 911.535156 1708462847.4877
MEM 917.355469 1708462847.5879
MEM 922.843750 1708462847.6883
MEM 928.378906 1708462847.7889
MEM 934.570312 1708462847.8891
MEM 940.578125 1708462847.9894
MEM 945.929688 1708462848.0898
MEM 952.000000 1708462848.1904
MEM 958.007812 1708462848.2907
MEM 963.355469 1708462848.3909
MEM 969.523438 1708462848.4911
MEM 975.535156 1708462848.5915
MEM 981.539062 1708462848.6921
MEM 986.953125 1708462848.7926
MEM 992.960938 1708462848.8931
MEM 999.035156 1708462848.9933
MEM 1005.417969 1708462849.0937
MEM 1010.390625 1708462849.1940
MEM 993.480469 1708462849.2945
MEM 955.617188 1708462849.3947
MEM 958.585938 1708462849.4951
MEM 961.187500 1708462849.5954
MEM 964.144531 1708462849.6958
MEM 977.378906 1708462849.7962
MEM 968.859375 1708462849.8966
MEM 972.257812 1708462849.9972
MEM 975.726562 1708462850.0976
MEM 981.105469 1708462850.1982
MEM 986.054688 1708462850.2988
MEM 991.621094 1708462850.3993
MEM 997.433594 1708462850.4999
MEM 1002.421875 1708462850.6003
MEM 1008.152344 1708462850.7009
MEM 1011.902344 1708462850.8012
MEM 1016.933594 1708462850.9014
MEM 1022.191406 1708462851.0018
MEM 1028.437500 1708462851.1022
MEM 1030.320312 1708462851.2027
MEM 1036.605469 1708462851.3033
MEM 1041.738281 1708462851.4040
MEM 1048.019531 1708462851.5042
MEM 1053.273438 1708462851.6047
MEM 1059.160156 1708462851.7050
MEM 1065.441406 1708462851.8052
MEM 1070.574219 1708462851.9057
MEM 1076.859375 1708462852.0059
MEM 1082.867188 1708462852.1064
MEM 1088.000000 1708462852.2068
MEM 1094.281250 1708462852.3073
MEM 1025.214844 1708462852.4076
MEM 1027.589844 1708462852.5078
MEM 1030.250000 1708462852.6080
MEM 1034.785156 1708462852.7084
MEM 1039.695312 1708462852.8085
MEM 1044.882812 1708462852.9089
MEM 1047.484375 1708462853.0095
MEM 1052.675781 1708462853.1101
MEM 1057.492188 1708462853.2106
MEM 1062.402344 1708462853.3108
MEM 1066.562500 1708462853.4110
MEM 1072.035156 1708462853.5117
MEM 1077.695312 1708462853.6124
MEM 1082.582031 1708462853.7126
MEM 1087.320312 1708462853.8130
MEM 1092.539062 1708462853.9134
MEM 1097.515625 1708462854.0140
MEM 1101.824219 1708462854.1145
MEM 1107.132812 1708462854.2150
MEM 1113.242188 1708462854.3155
MEM 1119.335938 1708462854.4157
MEM 1124.550781 1708462854.5161
MEM 1130.550781 1708462854.6165
MEM 1136.742188 1708462854.7171
MEM 1142.066406 1708462854.8174
MEM 1148.257812 1708462854.9178
MEM 1154.324219 1708462855.0180
MEM 1160.328125 1708462855.1185
MEM 1166.328125 1708462855.2188
MEM 1171.734375 1708462855.3193
MEM 1129.339844 1708462855.4197
MEM 1130.609375 1708462855.5204
MEM 1132.078125 1708462855.6210
MEM 1133.363281 1708462855.7216
MEM 1134.832031 1708462855.8222
MEM 1136.300781 1708462855.9228
MEM 1138.050781 1708462856.0233
MEM 1141.441406 1708462856.1238
MEM 1146.382812 1708462856.2242
MEM 1150.949219 1708462856.3247
MEM 1156.167969 1708462856.4253
MEM 1160.898438 1708462856.5258
MEM 1166.125000 1708462856.6262
MEM 1171.343750 1708462856.7268
MEM 1176.187500 1708462856.8274
MEM 1181.128906 1708462856.9276
MEM 1186.519531 1708462857.0280
MEM 1191.742188 1708462857.1284
MEM 1196.308594 1708462857.2288
MEM 1201.531250 1708462857.3291
MEM 1206.750000 1708462857.4295
MEM 1211.417969 1708462857.5297
MEM 1216.425781 1708462857.6302
MEM 1221.687500 1708462857.7304
MEM 1227.687500 1708462857.8310
MEM 1233.652344 1708462857.9312
MEM 1239.941406 1708462858.0315
MEM 1245.730469 1708462858.1318
MEM 1251.734375 1708462858.2322
MEM 1257.363281 1708462858.3327
MEM 1210.761719 1708462858.4331
MEM 1211.480469 1708462858.5336
MEM 1212.199219 1708462858.6341
MEM 1212.921875 1708462858.7346
MEM 1214.386719 1708462858.8349
MEM 1217.613281 1708462858.9354
MEM 1222.214844 1708462859.0359
MEM 1227.433594 1708462859.1365
MEM 1232.703125 1708462859.2367
MEM 1237.871094 1708462859.3369
MEM 1243.089844 1708462859.4375
MEM 1248.472656 1708462859.5381
MEM 1253.699219 1708462859.6386
MEM 1258.535156 1708462859.7390
MEM 1263.476562 1708462859.8396
MEM 1268.699219 1708462859.9401
MEM 1274.082031 1708462860.0405
MEM 1279.300781 1708462860.1410
MEM 1284.523438 1708462860.2415
MEM 1290.019531 1708462860.3420
MEM 1295.449219 1708462860.4425
MEM 1300.496094 1708462860.5430
MEM 1305.226562 1708462860.6435
MEM 1310.808594 1708462860.7440
MEM 1316.812500 1708462860.8445
MEM 1323.078125 1708462860.9451
MEM 1328.800781 1708462861.0457
MEM 1334.863281 1708462861.1461
MEM 1300.562500 1708462861.2466
MEM 1290.156250 1708462861.3472
MEM 1290.875000 1708462861.4476
MEM 1292.343750 1708462861.5482
MEM 1294.988281 1708462861.6484
MEM 1299.933594 1708462861.7487
MEM 1304.769531 1708462861.8492
MEM 1309.921875 1708462861.9497
MEM 1315.417969 1708462862.0502
MEM 1320.636719 1708462862.1507
MEM 1325.578125 1708462862.2509
MEM 1330.796875 1708462862.3514
MEM 1336.023438 1708462862.4515
MEM 1341.402344 1708462862.5519
MEM 1346.621094 1708462862.6522
MEM 1351.839844 1708462862.7528
MEM 1357.058594 1708462862.8532
MEM 1362.277344 1708462862.9537
MEM 1367.667969 1708462863.0540
MEM 1372.886719 1708462863.1545
MEM 1378.109375 1708462863.2548
MEM 1383.328125 1708462863.3554
MEM 1387.898438 1708462863.4559
MEM 1393.558594 1708462863.5563
MEM 1398.660156 1708462863.6569
MEM 1403.492188 1708462863.7574
MEM 1409.457031 1708462863.8579
MEM 1415.738281 1708462863.9585
MEM 1421.746094 1708462864.0588
MEM 1371.000000 1708462864.1591
MEM 1371.628906 1708462864.2595
MEM 1373.734375 1708462864.3600
MEM 1376.953125 1708462864.4604
MEM 1380.917969 1708462864.5607
MEM 1386.140625 1708462864.6610
MEM 1391.359375 1708462864.7615
